phase,contract_id,min_side_literals,min_main_literals,min_positive_choices,records,problems,families,aggregate_ratio,p95_ratio,maximum_problem_median_ratio,problem_balanced_median_ratio,maximum_estimated_bytes,sample_eligible,calibration_gate
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,7,32,21,3,3,32.6407299644859,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,8,0,2128,11,9,10.405559685699156,6.689889935322818,51.325,18.84485407066052,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,8,4,1297,8,7,9.914718361017533,6.391886756602698,46.92578125,18.677364198750908,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,8,8,830,8,7,8.297822317032804,6.150275045840973,218.15,17.28253577189824,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,8,16,265,6,5,14.009829539177947,6.160616939236804,87.03522504892368,25.122155926820994,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,8,32,20,3,3,34.529780262143404,14.051561365286856,192.70047543581617,43.171672077922075,56472,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,9,0,1662,7,6,9.822425627113951,6.4421839319078265,71.67142857142858,25.9125,61976,True,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,9,4,1006,5,5,9.252406870533019,6.28071106394269,105.87142857142857,17.962645437844458,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,9,8,686,5,5,7.694690626291599,6.117685571650708,287.9166666666667,14.377641445126107,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,9,16,213,3,3,13.50063106873672,5.597401830528491,87.03522504892368,27.836121275483535,61976,False,False
calibration,5481282947e39da2afaa382c8789dcf2b32790734b95b63ca604718414e26da8,2,9,32,18,2,2,68.1606637218258,14.051561365286856,192.70047543581617,117.93607375686912,46200,False,False
