"problem","Vampire 5.0.1","Vampire 5.0","CSI_PP 1.0","E 3.5.1","iProver 3.9.4","Drodi 4.1.1","LisaST 0.9","Prover9 2026‑6A","Zipperpin 2.1.9999","ConnectPP 0.7.2","FindProof 0.1","mrs 0.2.0","Prover9 1109a","SUPr 1.0","SPASS‑SCL 0.1.1","VIP 1.718","SATResetCoP 1.0"
"COM008+1","+3.81","+2.48","+0.54","+0.52","+1.17","+110.80","+23.66","+9.51","+68.45","TMO","GUP","UNK","+28.13","GUP","TMO","+114.80","UNK"
"KRS216+1","+1.50","+0.45","+115.46","+0.42","+1.24","+0.53","+7.13","+8.11","+0.90","+78.16","TMO","+57.40","+82.18","UNK","TMO","TMO","UNK"
"CSR114+8","+1.74","+0.96","+1.50","+0.63","+55.15","+3.66","+11.01","+0.65","UNK","+39.60","GUP","TMO","TMO","UNK","TMO","TMO","UNK"
"CSR048+3","+2.22","+0.70","+0.65","+0.81","+1.28","+0.84","+7.52","+0.42","+2.02","+20.83","+24.47","+0.85","TMO","+7.14","+6.83","TMO","UNK"
"KRS190+1","+1.38","+0.46","+0.52","+0.45","+1.35","+0.42","+10.24","+0.49","+0.86","+19.24","+2.94","UNK","+0.84","+0.52","+4.93","+0.48","UNK"
"CSR058+3","+2.22","+1.37","+1.30","+1.38","+3.32","+0.54","+6.12","TMO","+2.69","+16.72","+62.66","+1.02","TMO","+18.14","+0.95","+50.38","+62.37"
"CSR113+13","+2.65","+0.64","+0.88","+1.18","+56.93","+2.93","+20.54","TMO","UNK","TMO","GUP","TMO","TMO","UNK","TMO","TMO","UNK"
"CSR116+10","+1.77","+0.80","+1.24","+0.99","+49.55","+113.44","+9.72","+1.80","+9.21","TMO","GUP","UNK","TMO","UNK","TMO","TMO","UNK"
"CSR042+3","+1.84","+0.69","+0.75","+1.03","+4.36","+0.80","+7.40","+0.48","+2.13","+15.92","+32.57","+0.85","TMO","+6.94","+2.41","TMO","UNK"
"NUN080+1","+1.38","+0.52","+0.64","+0.48","+1.33","+0.42","+1.80","+0.43","+1.33","+0.51","+1.95","+0.47","+0.47","+0.45","TMO","TMO","+164.15"
"CSR044+3","+1.04","+0.64","+0.82","+0.59","+1.32","+2.83","+8.09","+0.47","+3.53","TMO","+40.65","UNK","TMO","+13.87","TMO","TMO","UNK"
"KRS262+1","+1.33","+0.47","+0.60","+0.41","+1.36","+0.41","+4.26","+0.46","+0.94","+18.40","+1.55","+0.65","+0.55","UNK","TMO","+0.47","UNK"
"CSR116+13","+1.63","+0.60","+0.92","+0.96","+51.88","+11.70","+8.64","+1.47","+4.92","TMO","GUP","TMO","TMO","TMO","TMO","TMO","UNK"
"KRS192+1","+1.22","+0.52","+115.51","+0.44","+1.13","+0.40","TMO","+98.36","+0.57","+28.31","TMO","UNK","+75.44","+3.27","TMO","+0.52","UNK"
"KRS195+1","+1.10","+0.47","+0.70","+0.34","+1.26","+0.37","+11.06","+0.49","+0.80","+1.60","+6.74","UNK","+0.49","+0.59","+7.57","+0.48","UNK"
"CSR113+30","+2.73","+1.27","+0.93","+0.84","+59.98","+2.29","+20.60","TMO","UNK","TMO","GUP","TMO","TMO","UNK","TMO","TMO","UNK"
"CSR052+3","+1.64","+0.62","+0.91","+0.94","+1.05","+2.79","+14.86","TMO","+27.33","+132.85","+27.50","+1.57","TMO","+6.54","TMO","TMO","UNK"
"CSR045+3","+4.77","+0.63","+4.71","+1.51","+22.46","+2.07","+10.36","GUP","+3.50","TMO","TMO","+1.63","TMO","+6.77","TMO","TMO","UNK"
